# of Features,Random Seed,Feature Name,Label,Metric,Value
2,4576,"(17, 27)",0,FPR,0.37777777777777777
2,4576,"(17, 27)",0,FNR,0.35353535353535354
2,4576,"(17, 27)",1,Error Rate,0.37037037037037035
2,4576,"(17, 27)",1,FPR,0.37777777777777777
2,4576,"(17, 27)",1,FNR,0.35353535353535354
2,789,"(17, 27)",0,Error Rate,0.37037037037037035
2,789,"(17, 27)",0,FPR,0.37777777777777777
2,789,"(17, 27)",0,FNR,0.35353535353535354
2,789,"(17, 27)",1,Error Rate,0.37037037037037035
2,789,"(17, 27)",1,FPR,0.37777777777777777
2,789,"(17, 27)",1,FNR,0.35353535353535354
2,101112,"(17, 27)",0,Error Rate,0.37037037037037035
2,101112,"(17, 27)",0,FPR,0.37777777777777777
2,101112,"(17, 27)",0,FNR,0.35353535353535354
2,101112,"(17, 27)",1,Error Rate,0.37037037037037035
2,101112,"(17, 27)",1,FPR,0.37777777777777777
2,101112,"(17, 27)",1,FNR,0.35353535353535354
2,7839,"(17, 20)",0,Error Rate,0.36728395061728397
2,7839,"(17, 20)",0,FPR,0.37777777777777777
2,7839,"(17, 20)",0,FNR,0.3434343434343434
2,7839,"(17, 20)",1,Error Rate,0.36728395061728397
2,7839,"(17, 20)",1,FPR,0.37777777777777777
2,7839,"(17, 20)",1,FNR,0.3434343434343434
2,1236,"(17, 20)",0,Error Rate,0.37037037037037035
2,1236,"(17, 20)",0,FPR,0.38222222222222224
2,1236,"(17, 20)",0,FNR,0.3434343434343434
2,1236,"(17, 20)",1,Error Rate,0.37037037037037035
2,1236,"(17, 20)",1,FPR,0.38222222222222224
2,1236,"(17, 20)",1,FNR,0.3434343434343434
2,4576,"(17, 20)",0,Error Rate,0.37037037037037035
2,4576,"(17, 20)",0,FPR,0.38222222222222224
2,4576,"(17, 20)",0,FNR,0.3434343434343434
2,4576,"(17, 20)",1,Error Rate,0.37037037037037035
2,4576,"(17, 20)",1,FPR,0.38222222222222224
2,4576,"(17, 20)",1,FNR,0.3434343434343434
2,789,"(17, 20)",0,Error Rate,0.36728395061728397
2,789,"(17, 20)",0,FPR,0.37777777777777777
2,789,"(17, 20)",0,FNR,0.3434343434343434
2,789,"(17, 20)",1,Error Rate,0.36728395061728397
2,789,"(17, 20)",1,FPR,0.37777777777777777
2,789,"(17, 20)",1,FNR,0.3434343434343434
2,101112,"(17, 20)",0,Error Rate,0.36728395061728397
2,101112,"(17, 20)",0,FPR,0.37777777777777777
2,101112,"(17, 20)",0,FNR,0.3434343434343434
2,101112,"(17, 20)",1,Error Rate,0.36728395061728397
2,101112,"(17, 20)",1,FPR,0.37777777777777777
2,101112,"(17, 20)",1,FNR,0.3434343434343434
2,7839,"(27, 20)",0,Error Rate,0.37037037037037035
2,7839,"(27, 20)",0,FPR,0.38222222222222224
2,7839,"(27, 20)",0,FNR,0.3434343434343434
2,7839,"(27, 20)",1,Error Rate,0.37037037037037035
2,7839,"(27, 20)",1,FPR,0.38222222222222224
2,7839,"(27, 20)",1,FNR,0.3434343434343434
2,1236,"(27, 20)",0,Error Rate,0.37037037037037035
2,1236,"(27, 20)",0,FPR,0.38222222222222224
2,1236,"(27, 20)",0,FNR,0.3434343434343434
2,1236,"(27, 20)",1,Error Rate,0.37037037037037035
2,1236,"(27, 20)",1,FPR,0.38222222222222224
2,1236,"(27, 20)",1,FNR,0.3434343434343434
2,4576,"(27, 20)",0,Error Rate,0.37037037037037035
2,4576,"(27, 20)",0,FPR,0.38222222222222224
2,4576,"(27, 20)",0,FNR,0.3434343434343434
2,4576,"(27, 20)",1,Error Rate,0.37037037037037035
2,4576,"(27, 20)",1,FPR,0.38222222222222224
2,4576,"(27, 20)",1,FNR,0.3434343434343434
2,789,"(27, 20)",0,Error Rate,0.37037037037037035
2,789,"(27, 20)",0,FPR,0.38222222222222224
2,789,"(27, 20)",0,FNR,0.3434343434343434
2,789,"(27, 20)",1,Error Rate,0.37037037037037035
2,789,"(27, 20)",1,FPR,0.38222222222222224
2,789,"(27, 20)",1,FNR,0.3434343434343434
2,101112,"(27, 20)",0,Error Rate,0.37037037037037035
2,101112,"(27, 20)",0,FPR,0.38222222222222224
2,101112,"(27, 20)",0,FNR,0.3434343434343434
2,101112,"(27, 20)",1,Error Rate,0.37037037037037035
2,101112,"(27, 20)",1,FPR,0.38222222222222224
2,101112,"(27, 20)",1,FNR,0.3434343434343434
3,7839,"(17, 27, 20)",0,Error Rate,0.37037037037037035
3,7839,"(17, 27, 20)",0,FPR,0.38222222222222224
3,7839,"(17, 27, 20)",0,FNR,0.3434343434343434
3,7839,"(17, 27, 20)",1,Error Rate,0.37037037037037035
3,7839,"(17, 27, 20)",1,FPR,0.38222222222222224
3,7839,"(17, 27, 20)",1,FNR,0.3434343434343434
3,1236,"(17, 27, 20)",0,Error Rate,0.37037037037037035
3,1236,"(17, 27, 20)",0,FPR,0.38222222222222224
3,1236,"(17, 27, 20)",0,FNR,0.3434343434343434
3,1236,"(17, 27, 20)",1,Error Rate,0.37037037037037035
3,1236,"(17, 27, 20)",1,FPR,0.38222222222222224
3,1236,"(17, 27, 20)",1,FNR,0.3434343434343434
3,4576,"(17, 27, 20)",0,Error Rate,0.37037037037037035
3,4576,"(17, 27, 20)",0,FPR,0.38222222222222224
3,4576,"(17, 27, 20)",0,FNR,0.3434343434343434
3,4576,"(17, 27, 20)",1,Error Rate,0.37037037037037035
3,4576,"(17, 27, 20)",1,FPR,0.38222222222222224
3,4576,"(17, 27, 20)",1,FNR,0.3434343434343434
3,789,"(17, 27, 20)",0,Error Rate,0.37037037037037035
3,789,"(17, 27, 20)",0,FPR,0.38222222222222224
3,789,"(17, 27, 20)",0,FNR,0.3434343434343434
3,789,"(17, 27, 20)",1,Error Rate,0.37037037037037035
3,789,"(17, 27, 20)",1,FPR,0.38222222222222224
3,789,"(17, 27, 20)",1,FNR,0.3434343434343434
3,101112,"(17, 27, 20)",0,Error Rate,0.37037037037037035
3,101112,"(17, 27, 20)",0,FPR,0.38222222222222224
3,101112,"(17, 27, 20)",0,FNR,0.3434343434343434
3,101112,"(17, 27, 20)",1,Error Rate,0.37037037037037035
3,101112,"(17, 27, 20)",1,FPR,0.38222222222222224
3,101112,"(17, 27, 20)",1,FNR,0.3434343434343434
